Tempo (s),Y,Set Point
136.3745138645172,40.04,50
136.4755461215973,40.04,50
136.57624101638794,40.04,50
136.6767861843109,40.53,50
136.7780134677887,40.04,50
136.87930345535278,40.53,50
136.98073410987854,40.04,50
137.08205914497375,40.04,50
137.18336939811707,40.04,50
137.28355431556702,40.04,50
137.384339094162,40.04,50
137.48583340644836,40.53,50
137.58631467819214,40.04,50
137.6869249343872,40.53,50
137.78813576698303,40.53,50
137.88924264907837,40.53,50
137.99005675315857,40.53,50
138.0909504890442,40.53,50
138.19201016426086,40.53,50
138.29358005523682,40.53,50
138.39412355422974,40.53,50
138.49489164352417,40.53,50
138.59573316574097,40.53,50
138.6970932483673,40.53,50
138.79885864257812,40.53,50
138.89958000183105,40.53,50
139.00107741355896,40.53,50
139.1012728214264,41.02,50
139.2021005153656,40.53,50
139.30325293540955,41.02,50
139.40484404563904,41.02,50
139.50572633743286,41.02,50
139.6065022945404,41.02,50
139.70743083953857,40.53,50
139.80803227424622,41.02,50
139.90905284881592,41.02,50
140.00964260101318,41.99,50
140.11029839515686,41.02,50
140.21164512634277,41.02,50
140.3132016658783,41.02,50
140.4141185283661,41.02,50
140.514750957489,41.02,50
140.6151556968689,41.02,50
140.71664762496948,41.02,50
140.8182020187378,41.5,50
140.91973495483398,41.5,50
141.02039623260498,41.5,50
141.1215100288391,41.5,50
141.22210025787354,41.5,50
141.3237180709839,41.5,50
141.42431211471558,41.5,50
141.5251259803772,41.5,50
141.6257426738739,41.5,50
141.72677516937256,41.5,50
141.82808423042297,41.5,50
141.92908453941345,41.5,50
142.03027081489563,41.5,50
142.13121366500854,41.99,50
142.23215079307556,41.99,50
142.3325355052948,41.99,50
142.43379926681519,41.99,50
142.53466725349426,41.99,50
142.6356053352356,41.5,50
142.73604154586792,41.99,50
142.83780241012573,41.99,50
142.93810200691223,41.99,50
143.0394151210785,41.99,50
143.1404092311859,41.99,50
143.24073195457458,41.99,50
143.3411304950714,41.99,50
143.44175577163696,41.99,50
143.54255056381226,41.99,50
143.64297342300415,41.99,50
143.7439911365509,41.99,50
143.84492826461792,42.48,50
143.9462947845459,42.48,50
144.04732728004456,41.99,50
144.14832067489624,42.48,50
144.24981355667114,41.99,50
144.35108613967896,42.97,50
144.4519808292389,42.48,50
144.55355763435364,42.48,50
144.6544964313507,42.97,50
144.75552678108215,42.48,50
144.85683131217957,42.97,50
144.95810079574585,43.46,50
145.05934524536133,42.48,50
145.1606342792511,42.97,50
145.26195645332336,42.97,50
145.36306977272034,43.46,50
145.46399569511414,42.97,50
145.56493377685547,42.97,50
145.6659870147705,42.97,50
145.7671082019806,42.97,50
145.86830163002014,42.97,50
145.96971535682678,42.97,50
146.07055354118347,42.97,50
146.1712305545807,42.97,50
146.27225422859192,42.48,50
146.37331223487854,42.97,50
146.47405552864075,44.43,50
146.5756869316101,43.46,50
146.6766242980957,43.46,50
146.77780556678772,43.46,50
146.87862920761108,43.46,50
146.97999358177185,43.46,50
147.08108353614807,43.46,50
147.18225955963135,43.46,50
147.2833912372589,43.95,50
147.384539604187,43.95,50
147.48505997657776,43.46,50
147.58627033233643,43.95,50
147.6870858669281,43.95,50
147.78812623023987,44.92,50
147.88867044448853,43.95,50
147.9892134666443,43.95,50
148.0910201072693,43.46,50
148.19204568862915,43.95,50
148.29262018203735,43.95,50
148.39370036125183,43.95,50
148.49469542503357,43.95,50
148.59593844413757,43.95,50
148.6968128681183,43.95,50
148.79787683486938,43.95,50
148.8992486000061,44.43,50
149.00069093704224,44.43,50
149.10121774673462,44.43,50
149.20241904258728,44.43,50
149.30362462997437,44.43,50
149.40515804290771,44.43,50
149.50651025772095,44.43,50
149.60724878311157,44.43,50
149.70787978172302,44.43,50
149.80878067016602,44.43,50
149.90995168685913,44.43,50
150.01065874099731,44.43,50
150.11206030845642,44.92,50
150.21292638778687,44.92,50
150.3141486644745,44.92,50
150.4151051044464,44.92,50
150.51621222496033,44.92,50
150.61683893203735,44.92,50
150.7179877758026,44.92,50
150.81836032867432,44.92,50
150.91896724700928,45.41,50
151.0196225643158,44.92,50
151.12094116210938,44.92,50
151.22262477874756,44.92,50
151.32273697853088,45.41,50
151.42339968681335,45.41,50
151.52414464950562,45.41,50
151.6249976158142,45.41,50
151.72589993476868,45.41,50
151.82657265663147,45.41,50
151.92797708511353,44.92,50
152.02871251106262,45.41,50
152.12983512878418,45.41,50
152.23094964027405,45.41,50
152.33206391334534,45.41,50
152.43270468711853,45.9,50
152.53373956680298,45.41,50
152.63428139686584,45.9,50
152.73491263389587,45.9,50
152.83628249168396,45.9,50
152.93710827827454,45.9,50
153.0381896495819,45.9,50
153.13876056671143,45.9,50
153.23965096473694,45.9,50
153.34062004089355,46.39,50
153.44149589538574,45.9,50
153.54273223876953,45.9,50
153.64363813400269,46.39,50
153.74506068229675,45.9,50
153.84588932991028,46.39,50
153.94738936424255,46.39,50
154.04855060577393,46.39,50
154.14987587928772,46.39,50
154.25099444389343,46.39,50
154.35192775726318,46.39,50
154.45243406295776,47.36,50
